trial, query, width, q_bit, ftr_on, nc1, nc2, recall@1, recall@30, filtering, 1st(sec), 2nd(sec), kNN(sec), ave(ms/q), stdev(ms/q), min(ms/q), max(ms/q)
23, 0, 26, 2, SSD, 950000, 150, 90.1500, 89.9500, 20.9829, 2.4616, 17.8906, 42.3936, 6.3377, 1.2452, 5.0194, 34.3937 
24, 0, 26, 2, SSD, 950000, 150, 90.1500, 89.9100, 20.9283, 2.3907, 17.9077, 42.4323, 6.3361, 1.1587, 4.9819, 30.6468 
25, 0, 26, 2, SSD, 1000000, 140, 90.0700, 89.8400, 21.5713, 2.4490, 18.4889, 39.8572, 6.1429, 1.1989, 4.8368, 31.6619 
26, 0, 26, 2, SSD, 1000000, 140, 90.0700, 89.8500, 21.6160, 2.4700, 18.5114, 39.7117, 6.1328, 1.1696, 4.7617, 34.4475 
27, 0, 26, 2, SSD, 1050000, 130, 90.1400, 89.9200, 22.2685, 2.6135, 19.0263, 37.3122, 5.9581, 1.2978, 4.6191, 44.7297 
28, 0, 26, 2, SSD, 1050000, 130, 90.1400, 89.9000, 22.2637, 2.6169, 19.0106, 37.2165, 5.9480, 1.2161, 4.6201, 31.1776 
29, 0, 26, 2, SSD, 1100000, 120, 90.0900, 89.8800, 22.9926, 2.7234, 19.6363, 34.9723, 5.7965, 1.2271, 4.2917, 41.7736 
30, 0, 26, 2, SSD, 1100000, 120, 90.0900, 89.8600, 23.0306, 2.7137, 19.6787, 34.8887, 5.7919, 1.2552, 4.4130, 35.6409 
31, 0, 26, 2, SSD, 1280000, 110, 90.1500, 89.9400, 26.1103, 3.1386, 22.3311, 32.3870, 5.8497, 1.3713, 4.2553, 56.0027 
32, 0, 26, 2, SSD, 1280000, 110, 90.1500, 89.9000, 26.3419, 3.1493, 22.5521, 32.3614, 5.8703, 1.3527, 4.2712, 52.4541 
33, 0, 26, 2, SSD, 1500000, 100, 90.1300, 89.8700, 29.9545, 3.6341, 25.6791, 30.1835, 6.0138, 1.3126, 4.2804, 40.2555 
34, 0, 26, 2, SSD, 1500000, 100, 90.1300, 89.8800, 30.1100, 3.8016, 25.6701, 30.3178, 6.0428, 1.4798, 4.2399, 43.1110 
35, 0, 26, 2, SSD, 1900000, 90, 90.1400, 89.9100, 37.3867, 4.7933, 31.9452, 27.9480, 6.5335, 1.5079, 4.3727, 32.9056 
36, 0, 26, 2, SSD, 1900000, 90, 90.1400, 89.9100, 37.4203, 4.8650, 31.9038, 27.9076, 6.5328, 1.5598, 4.3633, 45.9319 
